CountryName,Code,Year,Population,Latitude,Longitude
Mayotte,MYT,2023,316028,,
Mexico,MEX,2023,129739764,,
Micronesia (country),FSM,2023,112646,,
Moldova,MDA,2023,3067071,,
Monaco,MCO,2023,38978,,
Mongolia,MNG,2023,3431939,,
Montenegro,MNE,2023,633557,,
Montserrat,MSR,2023,4440,,
Morocco,MAR,2023,37712517,,
Mozambique,MOZ,2023,33635165,,
Myanmar,MMR,2023,54133801,,
Namibia,NAM,2023,2963101,,
Nauru,NRU,2023,11900,,
Nepal,NPL,2023,29694614,,
Netherlands,NLD,2023,18092525,,
New Caledonia,NCL,2023,289880,,
New Zealand,NZL,2023,5172839,,
Nicaragua,NIC,2023,6823618,,
Niger,NER,2023,26159862,,
Nigeria,NGA,2023,227882949,,
Niue,NIU,2023,1841,,
North Korea,PRK,2023,26418196,,
North Macedonia,MKD,2023,1831800,,
Northern Mariana Islands,MNP,2023,45165,,
Norway,NOR,2023,5519166,,
Oman,OMN,2023,5049268,,
Pakistan,PAK,2023,247504504,,
Palau,PLW,2023,17750,,
Palestine,PSE,2023,5409201,,
Panama,PAN,2023,4458759,,
Papua New Guinea,PNG,2023,10389638,,
Paraguay,PRY,2023,6844152,,
Peru,PER,2023,33845617,,
Philippines,PHL,2023,114891200,,
Poland,POL,2023,38762847,,
Portugal,PRT,2023,10430735,,
Puerto Rico,PRI,2023,3242023,,
Qatar,QAT,2023,2979087,,
Reunion,REU,2023,874883,,
Romania,ROU,2023,19118481,,
Russia,RUS,2023,145440504,,
Rwanda,RWA,2023,13954474,,
Saint Barthelemy,BLM,2023,11112,,
Saint Helena,SHN,2023,5316,,
Saint Kitts and Nevis,KNA,2023,46783,,
Saint Lucia,LCA,2023,179293,,
Saint Martin (French part),MAF,2023,27545,,
Saint Pierre and Miquelon,SPM,2023,5707,,
Saint Vincent and the Grenadines,VCT,2023,101331,,
Samoa,WSM,2023,216674,,
San Marino,SMR,2023,33761,,
Sao Tome and Principe,STP,2023,230881,,
Saudi Arabia,SAU,2023,33264288,,
Senegal,SEN,2023,18077573,,
Serbia,SRB,2023,6773203,,
Seychelles,SYC,2023,127961,,
Sierra Leone,SLE,2023,8460523,,
Singapore,SGP,2023,5789091,,
Sint Maarten (Dutch part),SXM,2023,42775,,
Slovakia,SVK,2023,5518057,,
Slovenia,SVN,2023,2118395,,
Solomon Islands,SLB,2023,800013,,
Somalia,SOM,2023,18358621,,
South Africa,ZAF,2023,63212386,,
South Korea,KOR,2023,51748744,,
South Sudan,SSD,2023,11483373,,
Spain,ESP,2023,47911583,,
Sri Lanka,LKA,2023,22971616,,
Sudan,SDN,2023,50042799,,
Suriname,SUR,2023,628892,,
Svalbard and Jan Mayen,SJM,2023,2400,,
Sweden,SWE,2023,10551493,,
Switzerland,CHE,2023,8870564,,
Syria,SYR,2023,23594622,,
Taiwan,TWN,2023,23317145,,
Tajikistan,TJK,2023,10389808,,
Tanzania,TZA,2023,66617607,,
Thailand,THA,2023,71702438,,
Togo,TGO,2023,9304344,,
Tokelau,TKL,2023,2424,,
Tonga,TON,2023,104614,,
Trinidad and Tobago,TTO,2023,1502936,,
Tunisia,TUN,2023,12200434,,
Turkey,TUR,2023,87270503,,
Turkmenistan,TKM,2023,7364437,,
Turks and Caicos Islands,TCA,2023,46219,,
Tuvalu,TUV,2023,9837,,
Uganda,UGA,2023,48656604,,
Ukraine,UKR,2023,37732832,,
United Arab Emirates,ARE,2023,10642089,,
United Kingdom,GBR,2023,68682965,,
United States,USA,2023,343477332,,
United States Virgin Islands,VIR,2023,85712,,
Uruguay,URY,2023,3388083,,
Uzbekistan,UZB,2023,35652309,,
Vanuatu,VUT,2023,320422,,
Vatican,VAT,2023,501,,
Venezuela,VEN,2023,28300860,,
Vietnam,VNM,2023,100352189,,
Wallis and Futuna,WLF,2023,11394,,
Western Sahara,ESH,2023,579735,,
World,OWID_WRL,2023,8091734935,,
Yemen,YEM,2023,39390800,,
Zambia,ZMB,2023,20723968,,
Zimbabwe,ZWE,2023,16340829,,
